N,batch,baseline,ours_best_ms,baseline_ms,speedup,region,source
8192,32,GPU-NTT(MergeNTT),0.020960,0.020128,0.960,gpu_ntt_wins,job153-verified-executed
8192,64,GPU-NTT(MergeNTT),0.022528,0.026656,1.183,ours_wins,job153-verified-executed
8192,128,GPU-NTT(MergeNTT),0.041088,0.043232,1.052,ours_wins,job153-verified-executed
16384,1,GPU-NTT(MergeNTT),0.010560,0.010240,0.970,gpu_ntt_wins,job153-verified-executed
16384,2,GPU-NTT(MergeNTT),0.012192,0.010240,0.840,gpu_ntt_wins,job153-verified-executed
16384,4,GPU-NTT(MergeNTT),0.016224,0.011296,0.696,gpu_ntt_wins,job153-verified-executed
16384,8,GPU-NTT(MergeNTT),0.023424,0.013408,0.572,gpu_ntt_wins,job153-verified-executed
16384,16,GPU-NTT(MergeNTT),0.037280,0.018304,0.491,gpu_ntt_wins,job153-verified-executed
16384,32,GPU-NTT(MergeNTT),0.038496,0.028256,0.734,gpu_ntt_wins,job153-verified-executed
16384,64,GPU-NTT(MergeNTT),0.053152,0.046944,0.883,gpu_ntt_wins,job153-verified-executed
16384,128,GPU-NTT(MergeNTT),0.109888,0.089728,0.817,gpu_ntt_wins,job153-verified-executed
