N,batch,ours_best_ms,gpu_ntt_ms,bitrev_permute_ms,gpu_plus_perm_ms,ours_plus_perm_ms,raw_ratio_gpu_over_ours,natural_contract_ratio,bitrev_contract_ratio
8192,32,0.020960,0.020128,0.008768,0.028896,0.029728,0.9603,1.3786,0.6771
8192,64,0.022528,0.026656,0.012288,0.038944,0.034816,1.1832,1.7287,0.7656
8192,128,0.041088,0.043232,0.025152,0.068384,0.066240,1.0522,1.6643,0.6527
16384,1,0.010560,0.010240,0.003232,0.013472,0.013792,0.9697,1.2758,0.7425
16384,2,0.012192,0.010240,0.003648,0.013888,0.015840,0.8399,1.1391,0.6465
16384,4,0.016224,0.011296,0.004032,0.015328,0.020256,0.6963,0.9448,0.5577
16384,8,0.023424,0.013408,0.005376,0.018784,0.028800,0.5724,0.8019,0.4656
16384,16,0.037280,0.018304,0.007904,0.026208,0.045184,0.4910,0.7030,0.4051
16384,32,0.038496,0.028256,0.012384,0.040640,0.050880,0.7340,1.0557,0.5553
16384,64,0.053152,0.046944,0.025120,0.072064,0.078272,0.8832,1.3558,0.5998
16384,128,0.109888,0.089728,0.046784,0.136512,0.156672,0.8165,1.2423,0.5727
