N,batch,selected_backend,executed_backend,output_order,selector_lookup_ns,best_measured_ms,executed_p50_ms,executed_p95_ms,executed_p99_ms,regret,values_ok,ordering_ok,reps_measure,reps_execute
8192,2,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.010528,0.010528,0.011264,0.011328,1.0000,1,1,9,100
8192,4,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.010560,0.010752,0.011488,0.011616,1.0182,1,1,9,100
8192,8,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.012064,0.011808,0.012288,0.012288,0.9788,1,1,9,100
8192,16,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.014272,0.014112,0.014336,0.014336,0.9888,1,1,9,100
8192,32,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.020128,0.019744,0.020288,0.020384,0.9809,1,1,9,100
8192,64,padded,padded,natural,1.25,0.022528,0.022528,0.022656,0.023136,1.0000,1,1,9,100
8192,128,padded,padded,natural,1.25,0.041088,0.041120,0.041792,0.041888,1.0008,1,1,9,100
16384,1,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.010240,0.010016,0.010240,0.011456,0.9781,1,1,9,100
16384,2,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.010240,0.010144,0.010304,0.010592,0.9906,1,1,9,100
16384,4,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.011296,0.011136,0.011808,0.014144,0.9858,1,1,9,100
16384,8,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.013408,0.012896,0.013792,0.014176,0.9618,1,1,9,100
16384,16,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.018304,0.018304,0.018432,0.019040,1.0000,1,1,9,100
16384,32,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.028256,0.028000,0.028480,0.028576,0.9909,1,1,9,100
16384,64,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.046944,0.046752,0.047104,0.047200,0.9959,1,1,9,100
16384,128,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.089728,0.089696,0.090112,0.096320,0.9996,1,1,9,100
